cohort_date,cohort_day,active_users
2023-01-01 00:00:00+00:00,0,97
2023-01-01 00:00:00+00:00,1,16
2023-01-01 00:00:00+00:00,2,12
2023-01-01 00:00:00+00:00,3,15
2023-01-01 00:00:00+00:00,4,10
2023-01-01 00:00:00+00:00,5,1
2023-01-01 00:00:00+00:00,13,1
2023-01-01 00:00:00+00:00,19,1
2023-01-01 00:00:00+00:00,20,1
2023-01-01 00:00:00+00:00,21,1
2023-01-01 00:00:00+00:00,26,1
2023-01-01 00:00:00+00:00,43,1
2023-01-01 00:00:00+00:00,51,1
2023-01-01 00:00:00+00:00,54,1
2023-01-01 00:00:00+00:00,55,1
2023-01-01 00:00:00+00:00,57,1
2023-01-01 00:00:00+00:00,88,1
2023-01-01 00:00:00+00:00,99,1
2023-01-01 00:00:00+00:00,103,1
2023-01-01 00:00:00+00:00,106,1
2023-01-01 00:00:00+00:00,107,1
2023-01-01 00:00:00+00:00,108,1
2023-01-01 00:00:00+00:00,109,1
2023-01-01 00:00:00+00:00,110,2
2023-01-01 00:00:00+00:00,111,1
2023-01-01 00:00:00+00:00,112,1
2023-01-01 00:00:00+00:00,155,1
2023-01-01 00:00:00+00:00,156,1
2023-01-01 00:00:00+00:00,192,1
2023-01-01 00:00:00+00:00,195,1
2023-01-01 00:00:00+00:00,198,1
2023-01-01 00:00:00+00:00,201,1
2023-01-01 00:00:00+00:00,226,1
2023-01-01 00:00:00+00:00,244,1
2023-01-01 00:00:00+00:00,268,2
2023-01-01 00:00:00+00:00,271,1
2023-01-01 00:00:00+00:00,272,1
2023-01-01 00:00:00+00:00,283,1
2023-01-01 00:00:00+00:00,284,1
2023-01-01 00:00:00+00:00,303,1
2023-01-01 00:00:00+00:00,338,1
2023-01-01 00:00:00+00:00,339,1
2023-01-01 00:00:00+00:00,342,1
2023-01-01 00:00:00+00:00,352,2
2023-01-01 00:00:00+00:00,361,1
2023-01-02 00:00:00+00:00,0,88
2023-01-02 00:00:00+00:00,1,20
2023-01-02 00:00:00+00:00,2,8
2023-01-02 00:00:00+00:00,3,9
2023-01-02 00:00:00+00:00,4,8
2023-01-02 00:00:00+00:00,5,1
2023-01-02 00:00:00+00:00,11,1
2023-01-02 00:00:00+00:00,20,1
2023-01-02 00:00:00+00:00,22,1
2023-01-02 00:00:00+00:00,31,1
2023-01-02 00:00:00+00:00,45,1
2023-01-02 00:00:00+00:00,50,1
2023-01-02 00:00:00+00:00,86,1
2023-01-02 00:00:00+00:00,101,1
2023-01-02 00:00:00+00:00,120,1
2023-01-02 00:00:00+00:00,154,1
2023-01-02 00:00:00+00:00,179,1
2023-01-02 00:00:00+00:00,183,1
2023-01-02 00:00:00+00:00,217,1
2023-01-02 00:00:00+00:00,219,2
2023-01-02 00:00:00+00:00,220,1
2023-01-02 00:00:00+00:00,236,1
2023-01-02 00:00:00+00:00,241,1
2023-01-02 00:00:00+00:00,252,1
2023-01-02 00:00:00+00:00,270,1
2023-01-02 00:00:00+00:00,306,1
2023-01-02 00:00:00+00:00,326,1
2023-01-02 00:00:00+00:00,328,1
2023-01-02 00:00:00+00:00,349,1
2023-01-03 00:00:00+00:00,0,75
2023-01-03 00:00:00+00:00,1,6
2023-01-03 00:00:00+00:00,2,7
2023-01-03 00:00:00+00:00,3,9
2023-01-03 00:00:00+00:00,4,3
2023-01-03 00:00:00+00:00,13,1
2023-01-03 00:00:00+00:00,15,1
2023-01-03 00:00:00+00:00,22,1
2023-01-03 00:00:00+00:00,33,1
2023-01-03 00:00:00+00:00,34,1
2023-01-03 00:00:00+00:00,36,1
2023-01-03 00:00:00+00:00,50,1
2023-01-03 00:00:00+00:00,86,1
2023-01-03 00:00:00+00:00,88,1
2023-01-03 00:00:00+00:00,89,1
2023-01-03 00:00:00+00:00,90,1
2023-01-03 00:00:00+00:00,100,1
2023-01-03 00:00:00+00:00,104,1
2023-01-03 00:00:00+00:00,126,1
2023-01-03 00:00:00+00:00,133,1
2023-01-03 00:00:00+00:00,142,1
2023-01-03 00:00:00+00:00,160,1
2023-01-03 00:00:00+00:00,170,1
2023-01-03 00:00:00+00:00,175,1
2023-01-03 00:00:00+00:00,176,1
2023-01-03 00:00:00+00:00,179,1
2023-01-03 00:00:00+00:00,208,1
2023-01-03 00:00:00+00:00,209,1
2023-01-03 00:00:00+00:00,211,1
2023-01-03 00:00:00+00:00,220,1
2023-01-03 00:00:00+00:00,222,1
2023-01-03 00:00:00+00:00,249,1
2023-01-03 00:00:00+00:00,255,1
2023-01-03 00:00:00+00:00,304,1
2023-01-03 00:00:00+00:00,331,1
2023-01-03 00:00:00+00:00,334,1
2023-01-03 00:00:00+00:00,346,1
2023-01-03 00:00:00+00:00,349,1
2023-01-04 00:00:00+00:00,0,73
2023-01-04 00:00:00+00:00,1,10
2023-01-04 00:00:00+00:00,2,15
2023-01-04 00:00:00+00:00,3,4
2023-01-04 00:00:00+00:00,4,5
2023-01-04 00:00:00+00:00,8,1
2023-01-04 00:00:00+00:00,24,1
2023-01-04 00:00:00+00:00,26,1
